,real_date,DOW,VIX,BTC,ETH,kospi,vkospi,gold,dol,DOW1,VIX1,BTC1,ETH1,kospi1,vkospi1,gold1,dol1,corona
65,2020-06-27,,,9045.390625,222.959793,,,,,,,-0.012909378767378993,-0.029643529023310675,,,,,1
66,2020-06-26,25015.55078,34.73,9162.917969,229.668045,"2,134.65",30.56,"68,110","1,254.15",-0.028766060887546574,0.07501645797053146,-0.011059044006840425,-0.014165196766826883,0.010492158921557042,-0.08044536521873921,-0.005709700014952584,-0.0036531683477634435,1
67,2020-06-25,25745.59961,32.220001,9264.813477,232.944489,"2,112.37",33.12,"68,500","1,258.74",0.011707543405700052,-0.04905612595257143,-0.005253081495074024,-0.012067011084834513,-0.02299651163760332,0.09229540513623495,0.0014609206396748698,0.0044907394407007984,1
68,2020-06-24,25445.93945,33.84,9313.610352,235.772461,"2,161.51",30.2,"68,400","1,253.10",-0.027526237826970997,0.07579148065784627,-0.03337092321382493,-0.034883450090815823,0.01410308157511727,-0.04942068121428033,0.0024884738011725686,-0.007473400978275666,1
69,2020-06-23,26156.09961,31.370001,9629.658203,244.142151,"2,131.24",31.73,"68,230","1,262.50",0.005026304360447053,-0.012670394201248452,-0.0019773010167997173,0.006612082976064523,0.0021183811471504384,-0.06997988291771018,-0.0008789921456656578,-0.005363806855431968,1
70,2020-06-22,26024.96094,31.77,9648.717773,242.533188,"2,126.73",34.03,"68,290","1,269.29",,,0.036420399250135044,0.05746100159366588,,,,,1
71,2020-06-21,,,9303.629883,228.989822,,,,,,,-0.0030812411301573083,-0.0012413760845710916,,,,,1
72,2020-06-20,,,9332.34082,229.274261,,,,,,,0.004760633005620781,0.009359894197658737,,,,,1
73,2020-06-19,25871.46094,35.119999,9288.018555,227.13829,"2,141.32",34.04,"67,380","1,262.09",-0.008032089487755823,0.06408304590184463,-0.013243316137297118,-0.02161429792587698,0.003668011972559406,-0.09145702294459646,0.0011880013277246885,0.00016640451390814606,1
74,2020-06-18,26080.09961,32.939999,9411.84082,232.101166,"2,133.48",37.3,"67,300","1,261.88",-0.0015137930195173491,-0.015961850709470392,-0.007242644027992737,-0.003986461170025946,-0.0035419135736085463,0.006724974907673916,-0.004151844635461803,-0.004948587580207997,1
75,2020-06-17,26119.60938,33.470001,9480.254883,233.028275,"2,141.05",37.05,"67,580","1,268.14",-0.006501546400987103,-0.0059576286721847544,-0.00607517723096615,-0.005938233298849063,0.0014021642361787636,0.03153105624786267,0.006085362007370647,0.003546901367969987,1
76,2020-06-16,26289.98047,33.669998,9538.024414,234.416168,"2,138.05",35.9,"67,170","1,263.65",0.020242325142926915,-0.021449448745963887,0.009197339407766831,0.019327861593045222,0.051454546293534374,-0.1003619713007408,-0.001190299203175354,-0.005280222529300227,1
77,2020-06-15,25763.16016,34.400002,9450.702148,229.928909,"2,030.82",39.69,"67,250","1,270.34",,,0.006785862284735177,-0.018040996363055194,,,,,1
78,2020-06-14,,,9386.788086,234.1147,,,,,,,-0.009382843838296167,-0.02027090711671613,,,,,1
79,2020-06-13,,,9475.277344,238.908844,,,,,,,-0.0005872937962772939,0.005943039727731152,,,,,1
80,2020-06-12,25605.53906,36.09,9480.84375,237.49321,"2,132.30",32.88,"67,130","1,257.49",0.018819173221123277,-0.12242115919058207,0.01691958379014404,0.02468409164622251,-0.020645511296036735,0.20483588663146193,0.00657602130644517,0.00686251386521015,1
81,2020-06-11,25128.16992,40.790001,9321.78125,231.702667,"2,176.78",26.79,"66,690","1,248.89",-0.07147654065279464,0.391708752809574,-0.05715571918561011,-0.06573317491506601,-0.008649627280453214,0.027627111859818365,0.006619551777883293,0.00390708545047595,1
82,2020-06-10,26989.99023,27.57,9870.094727,247.444946,"2,195.69",26.06,"66,250","1,244.02",-0.010405498624961079,0,0.007565917083532881,0.010291387969593226,0.0030880764218546653,-0.017874596452949303,0.00635980338654629,-0.00434737957405859,1
83,2020-06-09,27272.30078,27.57,9795.700195,244.911453,"2,188.92",26.53,"65,830","1,249.44",-0.010945139498213937,0.06596625004985619,0.002474647614933111,-0.005693794670968247,0.002117438554243394,-0.032266845244376154,-0.002276004320650057,-0.006167712172630154,1
84,2020-06-08,27572.43945,25.809999,9771.489258,246.309906,"2,184.29",27.4,"65,980","1,257.17",,,0.00129406037997627,0.004649884700508638,,,,,1
85,2020-06-07,,,9758.852539,245.167252,,,,,,,0.01083566830043654,0.013286754637551242,,,,,1
86,2020-06-06,,,9653.679688,241.93132,,,,,,,-0.0012271220938788728,0.0029362751006747293,,,,,1
87,2020-06-05,27110.98047,24.52,9665.533203,241.221985,"2,181.87",25.45,"66,840","1,260.40",0.03106137201649648,-0.05127286391783855,-0.013881075311104949,-0.013196599250175248,0.014165778474731078,-0.009386068125260534,-0.0023909156637731428,-0.00948360912477135,1
